,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years
40,2003-11-28,1615.25,14.7125,,0.0381451250080338,9232335.095111838,391065.83370678575,3232335.0951118367,
41,2003-12-31,1879.75,15.7889,,0.1637517412165299,10694146.042430878,1561810.9473190408,4794146.042430878,
42,2004-01-30,1809.75,15.2009,,-0.037238994547147186,10245906.796270398,-348239.2461604791,4445906.796270398,
43,2004-02-27,1800.3,15.1216,,-0.005221715706589358,10142405.583824063,-3501.2124463357904,4442405.583824063,
44,2004-03-31,1771.9,14.4666,,-0.015775148586346655,9932407.628716245,-109997.95510781658,4332407.628716246,
45,2004-04-30,1796.1,14.5312,,0.013657655623906528,10018061.031625513,185653.40290926854,4518061.031625515,
46,2004-05-31,1483.6,11.8468,,-0.17398808529591892,8225037.774355331,-1693023.257270181,2825037.7743553338,
47,2004-06-30,1505.6,11.3871,,0.014828794823402491,8297005.1719259815,171967.39757065027,2997005.171925984,
48,2004-07-30,1632.3,12.3467,,0.08415249734325192,8945218.87761343,748213.7056874486,3745218.8776134327,
49,2004-08-31,1631.75,12.3425,,-0.00033694786497573403,8892204.80521088,46985.927597447524,3792204.80521088,
50,2004-09-30,1745.5,12.3372,,0.06971043358357587,9462084.257696087,669879.4524852072,4462084.2576960875,
51,2004-10-29,1786.9,12.6299,,0.023718132340303733,9636507.224335227,274422.9666391404,4736507.224335228,
52,2004-11-30,1958.8,13.844899999999999,,0.09620012311824944,10513540.405746177,977033.181410949,5713540.405746177,
53,2004-12-31,2080.5,13.615,,0.06212987543393922,11116745.361524874,703204.9557786968,6416745.361524873,
54,2005-01-31,2057.6,13.4651,,-0.01100696947849078,10944383.684630416,-72361.67689445824,6344383.684630415,
55,2005-02-28,2103.25,13.7488,,0.02218604199066876,11137196.240619617,292812.5559892005,6637196.240619616,
56,2005-03-31,2035.65,12.7072,,-0.0321407345774396,10729238.572313003,-307957.6683066132,6329238.572313002,
57,2005-04-29,1902.5,11.8761,,-0.06540908309385218,9977448.915002817,-651789.6573101851,5677448.915002817,
58,2005-05-31,2087.55,13.0312,,0.09726675427069664,10897922.986866824,1020474.0718640079,6697922.986866825,
59,2005-06-30,2220.6,13.4979,,0.06373500035927271,11542502.112350108,744579.1254832833,7442502.112350108,
60,2005-07-29,2312.3,14.0725,,0.04129514545618318,11969151.416007908,526649.3036577993,7969151.416007907,
