,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Inflow_Rate,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years
151,2013-02-28,5693.05,15.5349,4.353629866466052,-0.056622063880028106,3.0,31525047.28701798,-1868651.2340439712,31275047.28701797,47536298.66466052
152,2013-03-28,5682.55,15.4675,4.809190349621754,-0.001844354080852928,3.0,31441903.937405087,-33143.34961289314,31241903.93740508,52091903.49621754
153,2013-04-30,5930.2,16.5487,5.348910657887694,0.04358078679466071,3.0,32787166.849319343,1395262.911914254,32637166.849319335,57489106.578876935
154,2013-05-31,5985.95,16.6683,4.945520460866111,0.009401032005665888,3.0,33070400.054244902,333233.20492555876,32970400.054244895,53455204.60866111
155,2013-06-28,5842.2,16.2723,4.1511704800952245,-0.02401456744543473,3.0,32251228.70169473,-769171.3525501726,32201228.701694723,45511704.80095225
156,2013-07-31,5742.0,15.4658,3.8420963865581657,-0.01715107322583953,3.0,31673085.516608667,-528143.1850860639,31673085.51660866,42420963.865581654
157,2013-08-30,5471.8,14.7407,3.0336146843094616,-0.047056774642981525,3.0,30157652.26920573,-1465433.247402936,30207652.269205723,34336146.84309462
158,2013-09-30,5735.3,15.3478,3.0472090889845465,0.04815599985379593,3.0,31584924.16747243,1477271.8982666996,31684924.167472422,34472090.88984546
159,2013-10-31,6299.15,16.7765,3.048557105212417,0.098312206859275,3.0,34665107.76585949,3130183.5983870635,34815107.765859485,34485571.05212417
160,2013-11-29,6176.1,16.4574,2.8236186348862407,-0.01953438162291732,3.0,33962946.32176164,-652161.4440978541,34162946.32176163,32236186.348862406
161,2013-12-31,6304.0,16.1964,2.353637451788802,0.020708861579313842,3.0,34641280.27596466,728333.954203028,34891280.275964655,27536374.51788802
162,2014-01-31,6089.5,15.6296,2.3648293963254594,-0.03402601522842641,3.0,33437575.5457625,-1153704.730202161,33737575.545762494,27648293.963254593
163,2014-02-28,6276.95,16.041,2.486613342220741,0.030782494457673115,3.0,34441867.529677965,1054291.9839154603,34791867.52967796,28866133.422207408
164,2014-03-31,6704.2,16.4484,2.7836221005700095,0.06806649726379854,3.0,36761204.8116469,2369337.2819689373,37161204.81164689,31836221.005700096
165,2014-04-30,6696.4,16.4299,2.728300206001893,-0.0011634497777512909,3.0,36693434.99607892,-17769.815567980273,37143434.996078916,31283002.060018927
166,2014-05-30,7229.95,17.7059,3.873247506066325,0.07967713995579717,3.0,39592062.95172045,2948627.9556415263,40092062.95172044,42732475.06066325
