,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years,IRR
206,2017-09-29,9788.6,22.7346,0.9493960787437641,-0.013037034049546703,36767803.03940704,-436335.32200675295,47367803.03940705,13493960.78743764,7.1434716759653405
207,2017-10-31,10335.3,23.5665,0.7515527950310559,0.05585068344809252,38771309.968042776,2103506.9286357365,49471309.96804279,11515527.950310558,3.3025706232105767
208,2017-11-30,10226.55,23.3186,0.7745954622359115,-0.010522190937853781,38313350.84164832,-357959.1263944597,49113350.84164833,11745954.622359116,3.7749135082504326
209,2017-12-29,10530.7,23.8994,0.7154888736845535,0.029741212823484187,39402836.3630106,1189485.5213622795,50302836.363010615,11154888.736845534,2.548491458792812
210,2018-01-31,11027.7,23.8705,1.146531839725934,0.0471953431395824,41212466.7458357,1909630.3828251003,52212466.745835714,15465318.397259342,10.56088085123783
211,2018-02-28,10492.85,22.7386,1.008777639513736,-0.04850059395884909,39163637.63015335,-1948829.115682348,50263637.630153365,14087776.39513736,8.211206843485662
212,2018-03-28,10113.7,21.9169,1.136170662160735,-0.03613412943099348,37698493.67903686,-1365143.9511164878,48898493.67903688,15361706.62160735,10.389883160037016
213,2018-04-30,10739.35,22.491,1.078892351768327,0.06186163323017291,39980584.06833943,2382090.38930257,51280584.068339445,14788923.517683271,9.428221203513122
214,2018-05-31,10736.15,22.4842,1.2045029876183238,-0.0002979696164107093,39918671.06904071,38087.000701280784,51318671.06904072,16045029.876183238,11.501678304041363
215,2018-06-29,10714.3,22.4226,1.651693457573845,-0.002035180208920351,39787429.37971459,-31241.68932611303,51287429.37971461,20516934.57573845,17.995801034712898
216,2018-07-31,11356.5,23.9453,1.6209626236167045,0.059938586748551126,42122231.667092465,2434802.287377875,53722231.66709248,20209626.236167043,17.586481258529396
217,2018-08-31,11680.5,24.6285,1.67901376146789,0.028529916787742637,43273975.43146863,1251743.7643761658,54973975.43146864,20790137.6146789,18.355750269861915
218,2018-09-28,10930.45,22.5643,1.7875267775170869,-0.0642138607080176,40445186.40083013,-2728789.0306385024,52245186.40083014,21875267.77517087,19.750451087690713
219,2018-10-31,10386.6,21.2753,2.5994593845300806,-0.04975549954484948,38382815.94727227,-1962370.4535578557,50282815.947272286,29994593.845300805,28.778453909426904
220,2018-11-30,10876.75,22.2626,2.947860331748394,0.047190610979531256,40144124.482938945,1861308.5356666741,52144124.48293896,33478603.31748394,32.078504693284195
221,2018-12-31,10862.55,23.8693,2.670834530186033,-0.001305537040016569,40041714.84148743,-2409.6414515127835,52141714.841487445,30708345.30186033,29.47768799335748
222,2019-01-31,10830.95,23.7999,2.7675490468902186,-0.002909077518630343,39875230.38903465,-66484.45245277803,52075230.389034666,31675490.468902186,30.405470905676758
223,2019-02-28,10792.5,23.7154,2.9051616521629002,-0.0035500117718206825,39683672.85174952,-91557.53728513484,51983672.85174953,33051616.521629002,31.688708464645376
224,2019-03-29,11623.9,25.8509,2.8477631208725733,0.07703497799397718,42690703.71660423,3107030.864854714,55090703.71660425,32477631.20872573,31.1585627230744
225,2019-04-30,11748.15,25.7389,2.3817844240705823,0.010689183492631482,43097032.48206058,506328.76545634744,55597032.4820606,27817844.24070582,26.563728403467767
226,2019-05-31,11922.8,26.1215,1.6799132379550232,0.014866170418321056,43687720.31146281,690687.8294022307,56287720.31146283,20799132.379550233,18.367538950415607
