,,,,
Date,Nifty Value,,Date,PE Ratio
27-11-2001,1076.05,,27-11-2001,14.7905
28-11-2001,1070.8,,28-11-2001,14.7183
29-11-2001,1067.15,,29-11-2001,14.6682
03-12-2001,1065.4,,03-12-2001,14.6441
04-12-2001,1077.7,,04-12-2001,14.8132
05-12-2001,1104.55,,05-12-2001,15.1822
06-12-2001,1110.45,,06-12-2001,15.2633
07-12-2001,1112.3,,07-12-2001,15.2888
10-12-2001,1115.25,,10-12-2001,15.3293
11-12-2001,1110.2,,11-12-2001,15.2599
12-12-2001,1107.65,,12-12-2001,15.2249
13-12-2001,1098.75,,13-12-2001,15.1025
14-12-2001,1087.85,,14-12-2001,14.9527
18-12-2001,1082.3,,18-12-2001,14.8764
19-12-2001,1060.75,,19-12-2001,14.5802
20-12-2001,1062,,20-12-2001,14.5974
21-12-2001,1050.85,,21-12-2001,14.4441
24-12-2001,1048.5,,24-12-2001,14.4118
26-12-2001,1034.25,,26-12-2001,14.216
27-12-2001,1020,,27-12-2001,14.0201
28-12-2001,1033.8,,28-12-2001,14.2098
31-12-2001,1059.05,,31-12-2001,14.441
01-01-2002,1055.3,,01-01-2002,14.3899
02-01-2002,1060.75,,02-01-2002,14.7941
03-01-2002,1072.25,,03-01-2002,14.9658
04-01-2002,1096.2,,04-01-2002,15.3179
07-01-2002,1100.15,,07-01-2002,15.414
08-01-2002,1109.9,,08-01-2002,15.5592
09-01-2002,1102.8,,09-01-2002,15.4491
10-01-2002,1098.2,,10-01-2002,15.3557
11-01-2002,1088.55,,11-01-2002,15.2384
14-01-2002,1109.8,,14-01-2002,15.5198
15-01-2002,1094.15,,15-01-2002,15.2827
16-01-2002,1090.45,,16-01-2002,16.8694
17-01-2002,1109.2,,17-01-2002,17.1555
18-01-2002,1093.15,,18-01-2002,16.9038
21-01-2002,1091.35,,21-01-2002,16.8715
22-01-2002,1092.85,,22-01-2002,16.9116
23-01-2002,1089.4,,23-01-2002,16.8611
24-01-2002,1085.3,,24-01-2002,16.8041
25-01-2002,1088.4,,25-01-2002,16.8566
28-01-2002,1071.35,,28-01-2002,16.5803
29-01-2002,1071.65,,29-01-2002,16.5898
30-01-2002,1067.45,,30-01-2002,16.5222
31-01-2002,1080.45,,31-01-2002,16.7436
01-02-2002,1081.65,,01-02-2002,16.7188
04-02-2002,1076.9,,04-02-2002,16.6803
05-02-2002,1074.25,,05-02-2002,16.6734
06-02-2002,1113.1,,06-02-2002,17.261
07-02-2002,1110.45,,07-02-2002,17.2209
08-02-2002,1123.75,,08-02-2002,17.4383
11-02-2002,1131.55,,11-02-2002,17.5387
12-02-2002,1129.5,,12-02-2002,17.4786
13-02-2002,1135.1,,13-02-2002,17.5441
14-02-2002,1150,,14-02-2002,17.7593
15-02-2002,1159.95,,15-02-2002,17.9038
18-02-2002,1172.85,,18-02-2002,18.1092
19-02-2002,1158.9,,19-02-2002,17.9065
20-02-2002,1145.95,,20-02-2002,17.7086
21-02-2002,1149.85,,21-02-2002,17.7554
22-02-2002,1163.5,,22-02-2002,17.9526
25-02-2002,1165.45,,25-02-2002,17.9901
26-02-2002,1189.4,,26-02-2002,18.2297
27-02-2002,1189.2,,27-02-2002,18.2483
28-02-2002,1142.05,,28-02-2002,17.5395
01-03-2002,1178,,01-03-2002,18.1071
04-03-2002,1177.35,,04-03-2002,18.0851
05-03-2002,1178.5,,05-03-2002,18.126
06-03-2002,1172.6,,06-03-2002,18.0398
07-03-2002,1193.05,,07-03-2002,18.3623
08-03-2002,1187.65,,08-03-2002,18.2913
11-03-2002,1167.85,,11-03-2002,17.9907
12-03-2002,1150.45,,12-03-2002,17.7272
13-03-2002,1157.05,,13-03-2002,17.827
14-03-2002,1159.45,,14-03-2002,17.8596
15-03-2002,1169.75,,15-03-2002,17.995
18-03-2002,1169.3,,18-03-2002,18.0005
19-03-2002,1152.15,,19-03-2002,17.7385
20-03-2002,1155.6,,20-03-2002,17.7908
21-03-2002,1144.2,,21-03-2002,17.6203
22-03-2002,1138.45,,22-03-2002,17.5328
26-03-2002,1123.05,,26-03-2002,17.2908
27-03-2002,1123.35,,27-03-2002,17.301
28-03-2002,1129.55,,28-03-2002,17.4049
01-04-2002,1138.95,,01-04-2002,16.2808
02-04-2002,1136.95,,02-04-2002,16.2469
03-04-2002,1123.5,,03-04-2002,16.0598
04-04-2002,1145.9,,04-04-2002,16.3804
05-04-2002,1141.95,,05-04-2002,16.3143
08-04-2002,1135.25,,08-04-2002,16.2216
09-04-2002,1126.7,,09-04-2002,16.106
10-04-2002,1138.5,,10-04-2002,16.2857
11-04-2002,1143.6,,11-04-2002,16.3631
12-04-2002,1146.5,,12-04-2002,16.4043
15-04-2002,1134.15,,15-04-2002,16.2264
16-04-2002,1118.75,,16-04-2002,16.004
17-04-2002,1125.1,,17-04-2002,16.1024
18-04-2002,1129,,18-04-2002,16.1611
19-04-2002,1100.3,,19-04-2002,15.7444
22-04-2002,1104.15,,22-04-2002,15.7999
23-04-2002,1106,,23-04-2002,15.8234
24-04-2002,1110.6,,24-04-2002,15.8916
25-04-2002,1094.3,,25-04-2002,15.6668
26-04-2002,1097.4,,26-04-2002,15.7036
29-04-2002,1074.2,,29-04-2002,15.3767
30-04-2002,1084.5,,30-04-2002,15.5275
02-05-2002,1093.3,,02-05-2002,15.6517
03-05-2002,1096.95,,03-05-2002,15.6926
06-05-2002,1100.95,,06-05-2002,15.7467
07-05-2002,1110.7,,07-05-2002,15.8766
08-05-2002,1117.6,,08-05-2002,15.9783
09-05-2002,1127.6,,09-05-2002,16.1206
10-05-2002,1116.4,,10-05-2002,15.9539
13-05-2002,1119.65,,13-05-2002,16.0041
14-05-2002,1115.1,,14-05-2002,15.9355
15-05-2002,1107.8,,15-05-2002,15.8339
16-05-2002,1092.8,,16-05-2002,15.6251
17-05-2002,1090.65,,17-05-2002,15.5842
20-05-2002,1074.35,,20-05-2002,15.3511
21-05-2002,1049.2,,21-05-2002,15.0013
22-05-2002,1045.3,,22-05-2002,14.9573
23-05-2002,1026.75,,23-05-2002,14.6918
24-05-2002,1067,,24-05-2002,15.2607
27-05-2002,1062.7,,27-05-2002,15.2037
28-05-2002,1038.2,,28-05-2002,14.8519
29-05-2002,1041.65,,29-05-2002,14.8913
30-05-2002,1032.15,,30-05-2002,14.7589
31-05-2002,1028.8,,31-05-2002,13.9771
03-06-2002,1039.75,,03-06-2002,14.1235
04-06-2002,1045.4,,04-06-2002,14.1986
05-06-2002,1064.2,,05-06-2002,14.4572
06-06-2002,1064.35,,06-06-2002,14.4581
07-06-2002,1048.8,,07-06-2002,14.2384
10-06-2002,1069.9,,10-06-2002,14.5187
11-06-2002,1097.05,,11-06-2002,14.8929
12-06-2002,1092.8,,12-06-2002,14.8376
13-06-2002,1082.85,,13-06-2002,14.7006
14-06-2002,1085.7,,14-06-2002,14.748
17-06-2002,1088.9,,17-06-2002,14.7884
18-06-2002,1074.95,,18-06-2002,14.5925
19-06-2002,1062.9,,19-06-2002,14.4222
20-06-2002,1070.05,,20-06-2002,14.5185
21-06-2002,1062.55,,21-06-2002,14.4161
24-06-2002,1061.85,,24-06-2002,14.4085
25-06-2002,1055.4,,25-06-2002,14.3412
26-06-2002,1044.2,,26-06-2002,14.1859
27-06-2002,1048.55,,27-06-2002,14.2379
28-06-2002,1057.8,,28-06-2002,14.3708
01-07-2002,1068.95,,01-07-2002,14.0962
02-07-2002,1068.05,,02-07-2002,14.0907
03-07-2002,1069.9,,03-07-2002,14.1138
04-07-2002,1070.55,,04-07-2002,14.1261
05-07-2002,1073.8,,05-07-2002,14.1762
08-07-2002,1082.05,,08-07-2002,14.2712
09-07-2002,1080.3,,09-07-2002,14.2393
10-07-2002,1071.7,,10-07-2002,14.1192
11-07-2002,1056.6,,11-07-2002,13.935
12-07-2002,1058.25,,12-07-2002,13.9587
15-07-2002,1048,,15-07-2002,13.8172
16-07-2002,1035.95,,16-07-2002,13.6668
17-07-2002,1032.55,,17-07-2002,13.6258
18-07-2002,1041.3,,18-07-2002,13.7355
19-07-2002,1035.9,,19-07-2002,13.6695
22-07-2002,1012,,22-07-2002,13.3489
23-07-2002,1021.9,,23-07-2002,13.4845
24-07-2002,1004.05,,24-07-2002,13.2456
25-07-2002,1001.55,,25-07-2002,13.2136
26-07-2002,973.5,,26-07-2002,12.8384
29-07-2002,971.65,,29-07-2002,12.8108
30-07-2002,960.65,,30-07-2002,12.6669
31-07-2002,958.9,,31-07-2002,12.6452
01-08-2002,957.7,,01-08-2002,12.6288
02-08-2002,954.75,,02-08-2002,12.5906
05-08-2002,963.25,,05-08-2002,12.7059
06-08-2002,966.65,,06-08-2002,12.7525
07-08-2002,969.1,,07-08-2002,12.7894
08-08-2002,953.55,,08-08-2002,12.5922
09-08-2002,961.95,,09-08-2002,12.7039
12-08-2002,969.85,,12-08-2002,12.8031
13-08-2002,976.05,,13-08-2002,12.8846
14-08-2002,969.65,,14-08-2002,12.8037
16-08-2002,979.25,,16-08-2002,12.9273
19-08-2002,979.85,,19-08-2002,12.9333
20-08-2002,988.55,,20-08-2002,13.0491
21-08-2002,988.45,,21-08-2002,13.0522
22-08-2002,985.7,,22-08-2002,13.0112
23-08-2002,995.2,,23-08-2002,13.1368
26-08-2002,998.85,,26-08-2002,13.1834
27-08-2002,987.7,,27-08-2002,13.0386
28-08-2002,985.7,,28-08-2002,13.0134
29-08-2002,987.25,,29-08-2002,13.0313
30-08-2002,1010.6,,30-08-2002,13.3376
02-09-2002,1013.5,,02-09-2002,13.357
03-09-2002,1001.1,,03-09-2002,13.1883
04-09-2002,1006.95,,04-09-2002,13.2616
05-09-2002,1008.6,,05-09-2002,13.2865
06-09-2002,995.2,,06-09-2002,13.1041
09-09-2002,998.55,,09-09-2002,13.1601
11-09-2002,998.85,,11-09-2002,13.1676
12-09-2002,1001.65,,12-09-2002,13.2003
13-09-2002,992,,13-09-2002,13.0715
16-09-2002,985.75,,16-09-2002,12.9848
17-09-2002,994.9,,17-09-2002,13.1011
18-09-2002,983.6,,18-09-2002,12.9508
19-09-2002,976.05,,19-09-2002,12.8508
20-09-2002,969.6,,20-09-2002,12.7602
23-09-2002,970.3,,23-09-2002,12.7619
24-09-2002,966.2,,24-09-2002,12.7147
25-09-2002,970.05,,25-09-2002,12.7686
26-09-2002,969.9,,26-09-2002,12.7665
27-09-2002,976.45,,27-09-2002,12.8495
30-09-2002,963.15,,30-09-2002,12.213
01-10-2002,955.2,,01-10-2002,12.1189
03-10-2002,948.2,,03-10-2002,12.0395
